time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
1.051135	4	264.660	2053.939	2539.311	3637.675	--undefined--
1.056135	4	271.061	2126.671	2514.915	3606.282	--undefined--
1.061135	4	270.884	2073.532	2352.026	3634.647	--undefined--
1.066135	4	277.381	1913.693	2400.836	3656.800	--undefined--
1.071135	4	276.542	1994.333	2391.024	3698.552	--undefined--
1.076135	4	284.153	1904.112	2423.627	3769.745	--undefined--
1.081135	4	290.311	1859.436	2487.940	3795.020	--undefined--
1.086135	4	283.139	1827.683	2480.121	3753.242	--undefined--
1.091135	4	273.533	1794.765	2461.681	3711.456	--undefined--
1.096135	4	257.760	1758.583	2455.486	3736.432	--undefined--
1.101135	4	248.384	1816.934	2409.813	3778.219	--undefined--
1.106135	4	248.471	1910.456	2423.575	3992.407	--undefined--
1.111135	4	260.862	1888.795	2505.138	3979.002	--undefined--
1.116135	4	268.411	1933.830	2562.971	3971.821	--undefined--
1.121135	4	267.889	1929.800	2469.804	3566.346	--undefined--
1.126135	5	263.824	1333.992	2367.550	3249.515	4357.396
1.131135	5	269.065	1238.836	2374.400	3320.797	4375.183
1.136135	5	277.113	1384.974	2377.045	3329.536	4351.763
1.141135	5	297.651	1520.770	2355.486	3287.577	3982.995
1.146135	5	337.287	1564.492	2365.031	3230.609	3932.631
1.151135	5	389.841	1668.413	2396.661	3233.075	3928.611
1.156135	5	406.590	1753.123	2424.997	3244.448	3962.403
1.161135	5	420.774	1821.571	2440.941	3197.593	3931.170
1.166135	5	418.635	1873.603	2451.730	3188.014	3915.644
1.171135	5	418.800	1908.090	2484.592	3220.716	3920.462
1.176135	5	414.317	1947.073	2543.725	3249.400	3815.250
1.181135	5	409.861	1965.253	2571.976	3344.337	3907.768
1.186135	5	405.685	1975.466	2594.967	3328.022	4020.849
1.191135	5	398.076	1985.220	2600.803	3317.915	3998.593
1.196135	5	390.056	2007.128	2607.120	3288.707	4074.621
1.201135	5	383.443	2011.169	2578.086	3296.063	3781.899
1.206135	5	374.118	2021.270	2562.451	3305.788	3700.725
1.211135	5	359.265	2015.723	2535.072	3217.505	3750.993
1.216135	5	334.572	2026.022	2549.616	3243.366	3814.642
1.221135	5	343.578	2072.733	2588.539	3459.263	3811.270
1.226135	5	343.094	2093.199	2614.274	3471.211	3966.787
1.231135	5	325.868	2076.563	2574.858	3478.303	3748.857
1.236135	5	317.331	2072.466	2567.633	3345.809	3842.218
1.241135	5	315.394	2052.783	2528.078	3226.388	3855.752
1.246135	5	317.178	2060.529	2541.219	3256.088	3865.301
1.251135	5	305.985	2071.355	2573.371	3266.940	3932.134
1.256135	5	304.748	2089.040	2590.907	3289.224	3933.405
1.261135	5	314.019	2138.157	2628.812	3360.292	3884.672
1.266135	5	304.667	2120.565	2616.399	3365.314	3957.074
1.271135	5	302.999	2091.884	2528.120	3324.169	3952.202
1.276135	5	300.374	2039.945	2515.200	3299.556	3990.548
1.281135	5	297.177	2035.548	2505.036	3353.647	3960.095
1.286135	5	317.688	1899.159	2415.178	3375.614	3919.637
1.291135	5	302.570	1888.601	2449.475	3416.454	4090.795
1.296135	4	267.867	1872.722	2501.879	3495.469	--undefined--
1.301135	4	266.123	1945.762	2516.806	3712.606	--undefined--
1.306135	4	268.966	2086.067	2551.056	3691.807	--undefined--
1.311135	4	268.139	2116.920	2528.817	3719.032	--undefined--
1.316135	4	272.694	2099.858	2529.532	3829.070	--undefined--
1.321135	4	281.129	2180.372	2534.407	3841.674	--undefined--
1.326135	4	279.826	2136.178	2519.312	3678.732	--undefined--
1.331135	4	283.882	1765.141	2560.201	3742.544	--undefined--
1.336135	4	282.298	1629.156	2577.781	3729.708	--undefined--
1.341135	5	293.530	1653.574	2565.290	3793.574	4545.318
1.346135	4	286.992	1922.811	2550.301	3865.512	--undefined--
1.351135	4	291.026	1918.819	2538.198	3933.373	--undefined--
1.356135	5	279.600	1538.428	2545.347	3634.154	4484.218
1.361135	5	278.108	1600.583	2560.980	3633.042	4281.799
1.366135	5	277.840	1639.191	2570.204	3726.948	4765.383
1.371135	4	291.943	1826.522	2578.589	3650.214	--undefined--
1.376135	5	294.617	1559.413	2569.578	3333.747	4485.525
1.381135	5	301.935	1478.628	2565.745	3283.228	4518.001
1.386135	4	298.043	1563.314	2575.096	3352.382	--undefined--
1.391135	4	301.319	1667.566	2588.427	3483.691	--undefined--
1.396135	4	298.682	1535.706	2596.048	3419.836	--undefined--
1.401135	4	290.782	1505.185	2597.009	3353.438	--undefined--
1.406135	5	274.317	1426.474	2600.127	3336.899	4649.364
1.411135	5	290.730	1286.545	2615.008	3554.995	4659.137
1.416135	5	330.043	1194.061	2594.453	3545.460	4639.071
1.421135	5	402.344	1186.183	2632.869	3537.767	4476.663
1.426135	5	479.670	1189.920	2724.320	3578.419	3959.690
1.431135	5	500.726	1167.962	2720.454	3605.614	4341.068
1.436135	5	487.916	1134.326	2736.736	3594.506	4122.183
1.441135	5	492.959	1093.902	2770.818	3574.352	3628.317
1.446135	5	524.810	1078.144	2843.931	3514.461	3697.987
1.451135	5	543.279	1050.804	2855.966	3647.778	3684.319
1.456135	5	548.404	1000.163	2780.470	3616.520	3731.571
1.461135	5	564.915	973.974	2761.601	3620.800	3656.622
1.466135	5	588.956	957.149	2782.678	3623.318	3746.469
1.471135	5	581.988	941.343	2764.853	3594.680	3960.681
1.476135	5	592.700	935.562	2781.828	3583.316	4066.881
1.481135	5	603.958	935.531	2812.797	3573.431	3830.730
1.486135	5	576.830	926.651	2767.338	3570.778	3864.659
1.491135	5	568.453	924.953	2749.573	3580.037	3978.206
1.496135	5	587.276	935.871	2744.128	3581.309	3921.219
1.501135	5	588.139	958.480	2748.210	3553.204	3829.576
1.506135	5	570.859	979.212	2784.662	3542.226	3875.445
1.511135	5	551.817	1004.898	2816.004	3553.376	3907.649
1.516135	5	552.920	1028.932	2804.295	3553.683	3992.849
1.521135	5	571.757	1064.293	2807.376	3564.654	3806.061
1.526135	5	599.384	1109.677	2801.256	3573.344	3816.393
1.531135	4	631.072	1164.762	2782.957	3531.308	--undefined--
1.536135	4	645.613	1206.136	2742.266	3495.583	--undefined--
1.541135	4	651.095	1256.294	2693.163	3490.791	--undefined--
1.546135	4	632.608	1304.213	2667.877	3426.376	--undefined--
1.551135	4	604.399	1331.551	2614.396	3325.574	--undefined--
1.556135	4	574.996	1354.343	2554.327	3269.390	--undefined--
1.561135	4	550.713	1385.364	2546.679	3323.062	--undefined--
1.566135	4	551.220	1447.416	2549.023	3544.221	--undefined--
1.571135	4	550.429	1514.264	2525.016	3615.553	--undefined--
1.576135	4	532.753	1551.184	2615.247	3584.604	--undefined--
1.581135	4	515.479	1587.739	2751.841	3641.925	--undefined--
1.586135	5	503.448	1607.795	2702.112	3756.256	4553.640
1.591135	5	508.953	1698.718	2694.747	3837.264	4690.236
1.596135	4	503.609	1827.617	2721.340	3856.568	--undefined--
1.601135	5	500.959	1824.468	2706.950	3313.624	3899.815
1.606135	5	498.887	1824.744	2664.220	3473.780	3909.060
1.611135	5	492.458	1847.887	2619.699	3801.313	4223.535
1.616135	5	492.875	1923.512	2597.623	3797.570	4038.199
1.621135	5	487.370	2118.312	2513.226	3493.334	3849.252
1.626135	5	481.624	1735.305	2405.253	3234.851	4031.649
1.631135	5	476.884	1597.797	2415.568	3218.311	4021.528
1.636135	5	471.419	1702.579	2400.033	3199.774	3984.401
1.641135	5	455.288	1718.557	2454.788	3191.348	3908.226
1.646135	5	451.316	1683.634	2443.247	3216.533	3886.753
1.651135	5	452.100	1533.078	2433.765	3307.964	3975.183
1.656135	5	430.846	1453.565	2438.905	3282.796	4018.311
1.661135	5	435.675	1410.366	2500.764	3406.447	3988.680
1.666135	5	456.740	1372.141	2537.549	3627.317	4134.716
1.671135	4	463.045	1199.692	2494.572	3650.551	--undefined--
1.676135	5	415.592	909.003	2490.931	3486.081	4555.702
1.681135	5	374.971	828.870	2551.868	3384.734	4537.740
1.686135	5	378.094	811.190	2560.079	3378.225	4431.424
1.691135	5	372.810	801.535	2547.497	3350.291	4300.204
1.696135	5	368.586	799.559	2555.858	3336.149	4308.446
1.701135	5	351.591	793.206	2561.203	3371.020	4333.319
1.706135	5	355.406	794.266	2567.606	3389.763	4459.908
1.711135	5	362.402	819.110	2550.611	3349.559	4310.088
1.716135	5	365.849	840.428	2555.387	3358.867	4267.861
1.721135	5	378.309	881.030	2568.275	3387.905	4181.615
1.726135	5	384.763	911.651	2577.125	3438.114	4628.686
1.731135	4	442.358	1015.846	2688.056	3652.221	--undefined--
1.736135	4	474.434	1486.261	2803.315	3909.588	--undefined--
1.741135	5	489.484	1216.472	2658.080	3652.257	4845.250
1.746135	4	789.862	1229.007	2596.313	3812.262	--undefined--
1.751135	4	821.534	1248.685	2572.767	3781.373	--undefined--
1.756135	4	818.770	1247.084	2561.762	3729.628	--undefined--
1.761135	4	826.452	1249.958	2549.114	3882.544	--undefined--
1.766135	4	827.510	1246.516	2553.563	3933.960	--undefined--
1.771135	4	818.138	1243.833	2559.759	3870.838	--undefined--
1.776135	4	829.349	1263.909	2575.481	3898.411	--undefined--
1.781135	4	817.912	1279.785	2582.231	3538.744	--undefined--
1.786135	4	745.126	1368.441	2640.764	3324.290	--undefined--
1.791135	4	712.791	1424.683	2626.929	3288.976	--undefined--
1.796135	4	617.595	1425.154	2669.797	3372.965	--undefined--
1.801135	5	559.488	1422.734	2673.371	3234.206	3463.784
1.806135	4	539.586	1425.547	2674.878	3422.588	--undefined--
1.811135	4	388.081	1372.357	2593.289	3401.609	--undefined--
1.816135	4	314.360	1337.840	2583.124	3369.760	--undefined--
1.821135	4	305.543	1335.043	2689.974	2807.519	--undefined--
1.826135	4	302.002	1307.525	2486.019	2704.038	--undefined--
1.831135	4	299.546	1359.751	2600.825	2692.525	--undefined--
1.836135	4	296.624	1409.852	2267.606	2692.232	--undefined--
1.841135	4	314.108	1354.654	2670.233	3801.593	--undefined--
1.846135	4	308.010	1262.048	2636.141	3703.519	--undefined--
1.851135	4	328.081	1756.895	2713.428	3902.234	--undefined--
1.856135	5	345.632	1791.759	2761.392	3297.170	4614.187
1.861135	4	348.649	1824.479	2938.162	3392.661	--undefined--
1.866135	4	376.449	1890.661	2731.014	3509.095	--undefined--
1.871135	4	378.170	1930.674	2774.932	3652.818	--undefined--
1.876135	4	358.502	1921.457	2694.879	3780.668	--undefined--
1.881135	4	359.443	1930.420	2682.675	3794.263	--undefined--
1.886135	4	347.833	1956.564	2675.231	3820.081	--undefined--
1.891135	4	353.234	2035.290	2738.884	3617.551	--undefined--
1.896135	4	340.681	2057.557	2671.762	3431.387	--undefined--
1.901135	5	334.516	2069.156	2202.091	3309.361	3718.366
1.906135	5	329.744	1869.658	2101.774	3210.164	3891.816
1.911135	5	325.615	1934.432	2156.982	3355.113	3932.739
1.916135	4	319.846	2098.042	2572.254	3485.391	--undefined--
1.921135	5	327.110	2136.569	2775.325	2934.851	3758.730
1.926135	5	322.572	2169.991	2438.574	3088.534	3807.338
1.931135	5	328.468	2208.240	2234.068	3134.417	3808.560
1.936135	5	324.249	1965.574	2258.945	3245.701	3790.149
1.941135	5	324.375	1726.526	2380.474	3320.352	3867.115
1.946135	5	319.517	1986.266	2300.940	3357.989	3723.604
1.951135	5	323.741	2095.520	2238.894	3332.171	3794.241
1.956135	5	342.534	2240.756	2462.847	3370.234	3515.402
1.961135	4	342.088	2244.671	3000.081	3429.486	--undefined--
1.966135	4	347.326	2250.582	3196.521	3612.175	--undefined--
1.971135	4	353.815	2249.588	3009.239	3797.224	--undefined--
1.976135	4	363.782	2254.232	2863.092	3959.602	--undefined--
1.981135	4	360.581	2256.309	2884.985	4054.213	--undefined--
1.986135	4	352.088	2243.189	2843.972	4060.420	--undefined--
1.991135	5	329.271	2252.337	2781.218	2851.750	4072.466
1.996135	5	315.012	2256.017	2471.786	2869.944	4090.638
2.001135	5	316.099	1048.694	2292.107	2872.537	4109.314
2.006135	4	321.737	2270.731	2833.295	4106.013	--undefined--
2.011135	4	346.779	2254.982	2837.273	4109.859	--undefined--
2.016135	4	337.056	2286.963	2879.188	4136.089	--undefined--
2.021135	5	329.884	2270.707	2893.759	4125.501	4597.672
2.026135	4	336.859	2226.910	3005.057	4077.524	--undefined--
2.031135	4	334.482	2201.583	2939.788	4101.919	--undefined--
2.036135	4	311.388	2206.666	2901.078	4155.721	--undefined--
2.041135	4	284.859	2178.134	2951.036	4117.368	--undefined--
2.046135	4	280.044	2144.872	2945.983	4165.656	--undefined--
2.051135	4	297.152	2107.602	2920.864	4254.840	--undefined--
2.056135	4	334.731	2165.347	2859.887	4115.296	--undefined--
2.061135	4	480.002	2226.108	2803.859	3918.673	--undefined--
2.066135	4	400.538	2243.384	2851.891	4117.308	--undefined--
2.071135	4	369.427	2227.500	2893.906	4153.746	--undefined--
2.076135	5	320.649	2169.614	2196.291	2988.672	4162.974
2.081135	5	332.090	1890.417	2419.527	3582.550	4193.168
2.086135	5	329.707	1488.119	2432.730	3766.635	4338.819
2.091135	5	314.514	1485.799	2527.560	3856.070	4312.866
2.096135	5	309.576	1626.811	2691.062	3483.093	4400.293
2.101135	4	300.665	1827.049	2648.741	4528.388	--undefined--
2.106135	5	283.091	1773.279	2584.876	2867.126	4580.769
2.111135	5	275.215	1366.661	2556.611	2827.919	4524.370
2.116135	5	289.455	1160.139	2521.818	3133.171	4553.366
2.121135	5	301.049	1107.888	2511.375	3253.266	4598.808
