time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
1.135156	4	463.607	1220.026	2297.536	3348.904	--undefined--
1.140156	4	456.659	1201.382	2310.323	3323.957	--undefined--
1.145156	4	439.246	1193.540	2318.989	3340.637	--undefined--
1.150156	4	442.282	1195.832	2298.831	3325.743	--undefined--
1.155156	4	426.733	1188.744	2307.549	3340.510	--undefined--
1.160156	4	404.060	1176.894	2314.467	3362.210	--undefined--
1.165156	4	352.492	1120.390	2315.404	3330.151	--undefined--
1.170156	5	348.194	1491.990	2737.925	3115.068	4665.361
1.175156	5	362.874	1512.616	2758.911	3316.943	4638.811
1.180156	5	481.922	1487.600	2755.972	3721.654	4667.715
1.185156	4	517.397	1382.918	2663.885	4895.020	--undefined--
1.190156	5	538.803	1387.106	2388.332	3125.457	4754.914
1.195156	5	551.760	1418.402	2339.220	3120.888	4700.868
1.200156	5	556.880	1454.102	2313.940	3148.922	4693.935
1.205156	5	558.967	1512.277	2340.031	3221.698	4834.951
1.210156	4	555.016	1573.313	2326.549	3304.479	--undefined--
1.215156	4	556.809	1601.172	2311.476	3419.050	--undefined--
1.220156	4	558.224	1649.285	2385.911	3486.178	--undefined--
1.225156	4	556.178	1685.232	2500.057	3545.219	--undefined--
1.230156	4	549.197	1698.232	2457.716	3569.330	--undefined--
1.235156	4	560.000	1742.393	2349.869	3582.758	--undefined--
1.240156	4	559.095	1780.534	2269.907	3475.849	--undefined--
1.245156	5	498.890	1828.820	2083.304	3250.628	4808.785
1.250156	5	467.391	1563.105	1896.736	3439.577	4769.051
1.255156	5	484.002	1595.198	1888.862	3356.855	4850.492
1.260156	4	500.198	1736.024	1921.070	3297.849	--undefined--
1.265156	4	510.566	1890.163	2264.952	3419.846	--undefined--
1.270156	4	514.376	1791.731	2370.692	3465.135	--undefined--
1.275156	4	506.681	1700.544	2371.612	3387.288	--undefined--
1.280156	4	486.184	1663.459	2899.237	3427.433	--undefined--
1.285156	4	435.681	1610.010	3160.173	3475.076	--undefined--
1.290156	4	386.294	1573.475	3347.368	3912.382	--undefined--
1.295156	4	358.727	1553.428	2180.454	3318.699	--undefined--
1.300156	4	362.040	1527.276	2197.615	3252.391	--undefined--
1.305156	4	363.272	1525.364	2049.809	3240.152	--undefined--
1.310156	4	360.783	1504.182	2034.761	3367.477	--undefined--
1.315156	4	363.437	1541.024	2467.212	3378.193	--undefined--
1.320156	4	361.558	1507.194	2929.726	3434.298	--undefined--
1.325156	4	381.530	1518.537	2822.912	3377.314	--undefined--
1.330156	5	451.906	1528.631	2793.255	3331.447	4756.364
1.335156	4	498.068	1502.400	2940.790	3216.605	--undefined--
1.340156	4	526.551	1500.708	2931.161	3155.611	--undefined--
1.345156	4	554.335	1499.112	2921.240	3392.956	--undefined--
1.350156	4	561.846	1491.001	2878.112	3258.479	--undefined--
1.355156	5	563.989	1477.607	2472.351	3156.981	4716.438
1.360156	5	567.706	1453.250	2297.704	3198.396	4449.992
1.365156	5	559.903	1412.615	2208.971	3258.238	4392.460
1.370156	5	563.167	1399.920	2256.657	3271.100	4531.386
1.375156	5	567.899	1383.528	2272.694	3203.634	4585.740
1.380156	5	564.524	1369.609	2254.655	3258.615	4610.477
1.385156	5	570.231	1359.281	2274.714	3190.820	4650.436
1.390156	5	578.690	1343.160	2318.834	3037.723	4607.864
1.395156	5	573.149	1303.884	2391.557	3025.645	4556.393
1.400156	5	563.292	1245.434	2264.276	3072.123	4544.299
1.405156	5	556.925	1202.620	2114.670	3174.457	4513.023
1.410156	5	550.237	1150.835	2027.099	3293.548	4491.736
1.415156	5	545.035	1147.541	1995.452	3283.569	4484.564
1.420156	5	526.009	1148.012	2047.774	3243.318	4507.541
1.425156	5	495.635	1127.723	2103.505	3203.715	4517.430
1.430156	5	502.317	1118.134	2244.457	3205.145	4478.479
1.435156	5	516.615	1103.611	2229.655	3203.405	4439.976
1.440156	5	517.951	1077.462	2150.674	3285.746	4422.352
1.445156	5	505.645	1090.091	2189.210	3296.550	4530.710
1.450156	5	466.351	1124.195	2211.005	3231.278	4743.293
1.455156	4	474.807	1137.261	2231.595	3235.282	--undefined--
1.460156	4	489.549	1157.839	2243.118	3341.557	--undefined--
1.465156	4	496.121	1171.708	2247.782	3416.540	--undefined--
1.470156	5	480.881	1123.092	2232.776	3359.238	4545.453
1.475156	5	458.147	1091.583	2216.917	3320.066	4512.832
1.480156	5	462.004	1101.203	2189.721	3316.337	4605.735
1.485156	5	460.225	1126.340	2186.712	3281.387	4610.838
1.490156	5	464.534	1176.095	2073.524	3276.066	4624.481
1.495156	5	465.453	1198.031	2040.641	3287.212	4720.455
1.500156	5	447.104	1107.688	2245.770	3306.939	4646.154
1.505156	5	446.841	1043.245	2343.046	3405.519	4606.695
1.510156	5	449.300	1095.437	2335.694	3422.799	4624.821
1.515156	5	446.297	1081.753	2400.794	3484.983	4936.467
1.520156	4	440.763	1137.658	2358.245	3407.201	--undefined--
1.525156	5	445.281	1165.900	2332.670	3370.236	4731.529
1.530156	5	452.952	1143.597	2344.904	3331.880	4681.158
1.535156	5	457.494	1121.024	2359.794	3338.213	4699.024
1.540156	5	450.925	1122.220	2372.370	3431.517	4699.128
1.545156	5	448.129	1140.284	2376.089	3488.617	4722.440
1.550156	5	453.789	1114.006	2360.589	3270.557	4556.762
1.555156	5	422.267	1105.420	2362.010	3266.769	4468.532
1.560156	5	384.584	1155.075	2323.635	3360.157	4493.748
1.565156	5	377.485	1178.108	2338.971	3445.650	4555.949
1.570156	5	375.767	1206.137	2405.803	3426.158	4596.009
1.575156	5	394.627	1201.881	2443.695	3509.781	4680.208
1.580156	5	414.984	1135.603	2383.164	3536.459	4505.085
1.585156	5	485.587	1234.162	2292.753	3493.923	4557.774
1.590156	5	577.007	1316.631	2271.904	3459.657	4619.428
1.595156	5	594.822	1311.991	2256.036	3555.206	4638.311
1.600156	5	603.920	1325.802	2277.553	3552.149	4611.430
1.605156	5	614.121	1352.320	2365.640	3475.720	4603.042
1.610156	5	604.101	1337.584	2164.693	3576.613	4578.184
1.615156	5	608.585	1286.642	2129.192	3611.467	4566.607
1.620156	5	606.279	1195.576	2116.083	3473.460	4569.774
1.625156	5	609.499	1194.110	2197.425	3429.385	4596.797
1.630156	4	597.506	1196.369	2510.283	3548.435	--undefined--
1.635156	5	562.549	1133.102	2225.455	3561.710	4621.088
1.640156	5	533.813	1104.029	2193.039	3536.006	4615.857
1.645156	5	505.569	1067.309	2291.787	3397.797	4583.623
1.650156	5	497.954	1055.641	2452.805	3436.322	4582.035
1.655156	4	476.814	1044.764	2574.400	3478.989	--undefined--
1.660156	4	467.648	1041.192	3268.456	3422.386	--undefined--
1.665156	5	462.683	1032.704	2846.854	3237.564	4537.126
1.670156	5	457.678	973.449	2568.493	3385.896	4432.630
1.675156	5	432.012	997.362	2530.509	3425.976	4386.031
1.680156	5	437.785	1037.867	2502.241	3390.424	4518.890
1.685156	5	425.532	941.583	2330.481	3416.105	4523.582
1.690156	5	401.898	961.883	2320.036	3381.942	4542.080
1.695156	5	393.044	986.743	2404.797	3363.738	4512.643
1.700156	5	394.903	1003.630	2478.995	3357.184	4514.638
1.705156	5	401.016	1019.990	2589.944	3362.113	4503.688
1.710156	5	407.725	1034.758	2584.145	3389.956	4597.260
1.715156	5	400.009	1060.481	2562.094	3495.519	4743.640
1.720156	5	397.660	1070.104	2428.305	3388.361	4715.815
1.725156	5	405.851	1072.647	2349.716	3351.819	4618.339
1.730156	5	420.528	1128.186	2375.662	3450.172	4718.151
1.735156	4	421.448	1236.958	2470.968	3674.645	--undefined--
1.740156	4	417.072	1299.977	2447.102	3808.110	--undefined--
1.745156	4	432.710	1365.187	2496.926	3804.857	--undefined--
1.750156	5	440.972	1380.858	2404.017	3371.968	4636.981
1.755156	5	459.727	1383.479	2279.990	3344.607	4757.599
1.760156	4	468.496	1478.806	2379.841	3386.310	--undefined--
1.765156	4	468.743	1501.168	2517.125	3459.103	--undefined--
1.770156	4	473.682	1505.634	2507.459	3458.928	--undefined--
1.775156	4	479.934	1521.195	2461.072	3515.209	--undefined--
1.780156	4	478.348	1526.878	2288.952	3610.728	--undefined--
1.785156	4	478.341	1566.707	2254.187	3611.202	--undefined--
1.790156	4	476.731	1618.304	2231.828	3576.155	--undefined--
1.795156	5	471.743	1638.085	1978.541	3558.169	4584.729
1.800156	5	474.209	1696.015	2032.334	3524.695	4891.043
1.805156	4	476.591	1717.575	2230.747	3485.275	--undefined--
1.810156	4	483.796	1701.061	2198.123	3456.052	--undefined--
1.815156	5	484.998	1682.265	2035.827	3379.288	4758.754
1.820156	5	477.080	1673.931	1969.575	3352.150	4682.865
1.825156	5	471.602	1660.852	2133.268	3325.222	4643.117
1.830156	5	459.662	1650.032	2192.419	3300.269	4585.382
1.835156	5	443.757	1635.394	2302.686	3428.240	4660.518
1.840156	5	403.470	1626.847	2357.616	3530.084	4634.457
1.845156	5	370.105	1642.882	2449.509	3641.060	4566.165
1.850156	4	389.589	1680.062	2771.215	3941.247	--undefined--
1.855156	4	474.991	1568.706	2791.575	3898.909	--undefined--
1.860156	4	422.178	1512.620	2765.988	3911.519	--undefined--
1.865156	4	385.146	1536.302	2701.819	3946.217	--undefined--
1.870156	4	398.779	1536.368	2575.290	3877.771	--undefined--
1.875156	4	395.548	1564.171	2586.430	4003.239	--undefined--
1.880156	4	409.253	1606.480	2696.852	4134.380	--undefined--
1.885156	4	475.903	1597.185	2536.321	4147.816	--undefined--
1.890156	4	545.068	1581.207	2407.712	4202.897	--undefined--
1.895156	4	597.098	1585.217	2356.125	4359.701	--undefined--
1.900156	4	633.447	1590.261	2366.803	4407.709	--undefined--
1.905156	4	649.616	1590.250	2532.190	4396.326	--undefined--
1.910156	4	652.131	1578.956	2591.903	4301.301	--undefined--
1.915156	4	660.947	1579.665	2585.107	4172.566	--undefined--
1.920156	4	696.219	1581.738	2572.169	4036.009	--undefined--
1.925156	4	658.939	918.354	1579.300	3628.020	--undefined--
1.930156	4	555.149	1551.311	1721.869	3878.068	--undefined--
1.935156	4	513.388	1509.042	1895.090	4137.088	--undefined--
1.940156	5	481.501	1494.183	1845.977	3291.079	4479.378
1.945156	5	472.324	1489.631	1741.665	3085.791	4583.999
1.950156	5	476.023	1497.528	1666.596	2964.789	4618.613
1.955156	5	508.456	1350.105	1585.876	2951.222	4634.541
1.960156	5	506.156	1134.144	1623.677	2917.803	4616.456
1.965156	5	477.472	1212.312	1592.595	2971.366	4713.919
1.970156	5	454.201	1167.493	1524.297	3010.707	4704.352
1.975156	5	392.936	1382.066	1816.531	3060.664	4618.342
1.980156	5	371.097	1406.932	2052.565	3091.756	4652.604
1.985156	5	353.987	1371.638	2134.860	3197.430	4698.351
1.990156	5	344.584	1375.066	2018.177	3153.417	4728.911
1.995156	5	332.738	1374.113	2007.465	3228.275	4722.825
2.000156	5	326.179	1380.431	2044.101	3274.827	4707.028
2.005156	5	326.511	1478.436	1943.952	3115.447	4670.106
2.010156	4	341.561	1525.166	3043.818	4633.073	--undefined--
2.015156	4	339.958	1540.016	3048.433	4643.743	--undefined--
2.020156	5	328.492	1356.357	2056.160	3157.300	4633.785
2.025156	5	317.013	1220.032	2167.882	3190.351	4664.444
2.030156	5	310.446	1204.030	2272.144	3311.887	4672.655
2.035156	5	310.913	1160.671	2213.225	3356.152	4624.180
2.040156	5	306.749	1184.582	2290.457	3281.745	4608.361
2.045156	5	301.575	1204.065	2332.735	3349.585	4622.696
2.050156	5	296.362	1190.631	2250.763	3391.823	4631.042
2.055156	5	298.763	1181.776	2220.318	3349.510	4578.255
2.060156	5	304.000	1195.282	2237.472	3345.899	4578.129
2.065156	5	310.336	1220.760	2354.234	3191.643	4610.302
2.070156	5	309.510	1221.840	2388.484	3104.445	4626.547
2.075156	5	309.790	1216.173	2279.115	3194.570	4627.239
2.080156	5	308.102	1216.697	2148.034	3241.880	4623.483
2.085156	5	303.691	1169.560	2120.817	3201.512	4656.827
2.090156	5	302.159	1177.183	2135.240	3069.388	4673.223
2.095156	5	299.058	1172.255	2155.735	3089.244	4637.900
2.100156	5	296.853	1174.855	2167.757	3101.883	4622.922
2.105156	5	295.614	1185.019	2240.160	3118.897	4660.812
2.110156	5	297.271	1176.012	2254.548	3538.215	4708.650
2.115156	5	304.122	1144.907	2236.244	3406.268	4747.389
2.120156	5	315.675	1141.035	2240.214	3152.672	4733.563
2.125156	5	331.108	1180.959	2063.096	3105.607	4671.990
2.130156	5	339.373	1190.950	2102.726	3089.330	4731.243
2.135156	5	343.026	1203.086	2151.527	3122.031	4740.366
2.140156	5	345.967	1209.623	2128.398	3136.811	4665.651
2.145156	5	348.582	1239.095	2235.732	3134.005	4653.344
2.150156	5	370.747	1245.474	2336.680	3129.440	4693.857
2.155156	5	426.386	1198.873	2415.514	3172.698	4744.855
2.160156	5	502.126	1216.277	2432.151	3070.506	4740.899
2.165156	5	469.612	1226.612	2091.365	3127.544	4741.936
2.170156	5	407.970	1198.489	2061.367	3175.516	4761.676
2.175156	5	362.344	1204.977	2195.443	3135.710	4646.451
2.180156	5	344.256	1221.780	2657.267	3081.001	4542.408
2.185156	5	322.918	1190.613	2402.365	3516.143	4614.535
2.190156	5	310.179	1169.079	2253.618	3401.276	4659.584
2.195156	5	305.143	1198.411	2304.166	3297.907	4588.555
2.200156	5	307.475	1190.712	2314.292	3209.751	4585.747
2.205156	5	313.843	1171.494	2247.384	3193.034	4623.569
2.210156	5	322.952	1171.638	2367.209	3161.929	4618.805
2.215156	5	340.234	1189.402	2308.707	3179.898	4670.831
